timestamp,face_count,fps
00:05:05,1,61.1
00:05:05,1,55.1
00:05:05,1,57.2
00:05:05,1,53.6
00:05:05,1,59.4
00:05:05,1,59.5
00:05:05,1,57.9
00:05:05,1,54.4
00:05:05,1,62.8
00:05:05,1,65.1
00:05:05,1,60.2
00:05:05,1,64.7
00:05:05,1,62.3
00:05:05,1,59.0
00:05:05,1,65.9
00:05:05,1,59.2
00:05:05,1,64.8
00:05:05,1,63.8
00:05:05,1,57.4
00:05:05,1,64.5
00:05:05,1,65.4
00:05:05,1,60.9
00:05:06,1,59.9
00:05:06,1,56.9
00:05:06,1,59.8
00:05:06,1,58.3
00:05:06,1,63.0
00:05:06,1,62.7
00:05:06,1,59.4
00:05:06,1,61.6
00:05:06,1,60.3
00:05:06,1,63.9
00:05:06,1,65.8
00:05:06,1,55.3
00:05:06,1,57.7
00:05:06,1,55.9
00:05:06,1,57.1
00:05:06,1,58.4
00:05:06,1,61.1
00:05:06,1,60.1
00:05:06,1,58.5
00:05:06,1,63.0
00:05:06,1,61.2
00:05:06,1,62.8
00:05:06,1,62.2
00:05:06,1,60.3
00:05:06,1,62.4
00:05:06,1,64.2
00:05:06,1,63.6
00:05:06,1,63.0
00:05:06,1,64.1
00:05:06,1,60.3
00:05:07,1,57.6
00:05:07,1,60.9
00:05:07,1,60.3
00:05:07,1,59.4
00:05:07,1,56.9
00:05:07,1,60.6
00:05:07,1,54.4
00:05:07,1,54.2
00:05:07,1,66.5
00:05:07,1,56.3
00:05:07,1,59.8
00:05:07,1,62.6
00:05:07,1,62.9
00:05:07,1,61.1
00:05:07,1,54.9
00:05:07,1,61.9
00:05:07,1,61.2
00:05:07,1,61.4
00:05:07,1,59.1
00:05:07,1,67.5
00:05:07,1,66.5
00:05:07,1,65.5
00:05:07,1,63.9
00:05:07,1,64.9
00:05:07,1,68.3
00:05:07,1,60.3
00:05:07,1,67.1
00:05:07,1,61.4
00:05:07,1,53.9
00:05:07,1,58.7
00:05:07,1,68.7
00:05:08,1,67.2
00:05:08,1,68.5
00:05:08,1,61.5
00:05:08,1,60.0
00:05:08,1,68.5
00:05:08,1,67.5
00:05:08,1,65.7
00:05:08,1,65.8
00:05:08,1,63.9
00:05:08,1,66.9
00:05:08,1,69.7
00:05:08,1,64.9
00:05:08,1,62.7
00:05:08,1,66.2
00:05:08,1,62.1
00:05:08,1,65.4
00:05:08,1,60.3
00:05:08,1,66.6
00:05:08,1,61.2
00:05:08,1,67.2
00:05:08,1,62.4
00:05:08,1,63.2
00:05:08,1,62.8
00:05:08,1,68.1
00:05:08,1,65.6
